時間,巢穴,活動區,出風口,風扇(%),狀態
2026/7/22 17:53:47,24.9,25.1,25.5,0,維持
2026/7/22 17:53:48,24.9,25.1,25.5,39,維持
2026/7/22 17:53:48,24.9,25.1,25.5,39,維持
2026/7/22 17:53:48,24.9,25.0,25.5,39,維持
2026/7/22 17:53:48,24.9,25.0,25.5,39,維持
2026/7/22 17:53:48,24.9,25.0,25.5,39,維持
2026/7/22 17:53:48,24.9,25.0,25.5,39,維持
2026/7/22 17:53:48,24.9,25.0,25.5,39,維持
2026/7/22 17:53:48,24.9,25.0,25.5,39,維持
2026/7/22 17:53:48,24.9,25.0,25.5,39,維持
2026/7/22 17:53:48,24.9,25.0,25.5,39,維持
2026/7/22 17:53:48,24.9,25.0,25.5,39,維持
2026/7/22 17:53:48,24.9,25.0,25.5,39,維持
2026/7/22 17:53:48,24.9,25.0,25.5,39,維持
2026/7/22 17:53:49,24.9,25.0,25.5,39,加熱
2026/7/22 17:53:50,24.9,25.0,25.5,39,加熱
2026/7/22 17:53:51,24.9,25.0,25.5,39,加熱
2026/7/22 17:53:52,24.9,25.0,25.5,100,加熱
2026/7/22 17:53:53,24.9,25.1,25.5,100,加熱
2026/7/22 17:53:54,24.9,25.1,25.5,100,加熱
2026/7/22 17:53:55,24.9,25.1,25.5,100,加熱
2026/7/22 17:53:56,24.9,25.1,25.5,100,加熱
2026/7/22 17:53:57,24.9,25.1,25.5,100,加熱
2026/7/22 17:53:58,24.9,25.1,25.5,100,加熱
2026/7/22 17:53:59,24.9,25.1,25.5,100,加熱
2026/7/22 17:54:00,24.9,25.1,25.5,100,加熱
2026/7/22 17:54:01,25.0,25.1,25.6,100,加熱
2026/7/22 17:54:02,25.0,25.1,25.6,100,加熱
2026/7/22 17:54:03,25.0,25.1,25.6,100,加熱
2026/7/22 17:54:04,25.0,25.1,25.6,100,加熱
2026/7/22 17:54:05,25.0,25.3,25.6,100,加熱
2026/7/22 17:54:06,25.0,25.3,25.6,100,加熱
2026/7/22 17:54:07,25.0,25.3,25.6,100,加熱
2026/7/22 17:54:08,25.0,25.3,25.6,100,加熱
2026/7/22 17:54:09,25.0,25.3,25.6,100,加熱
2026/7/22 17:54:10,25.0,25.3,25.6,100,加熱
2026/7/22 17:54:11,25.0,25.3,25.6,100,加熱
2026/7/22 17:54:12,25.0,25.3,25.6,100,加熱
2026/7/22 17:54:13,25.1,25.3,25.8,100,加熱
2026/7/22 17:54:14,25.1,25.3,25.8,100,加熱
2026/7/22 17:54:15,25.1,25.3,25.8,100,加熱
2026/7/22 17:54:16,25.1,25.3,25.8,100,加熱
2026/7/22 17:54:17,25.1,25.4,25.8,100,加熱
2026/7/22 17:54:18,25.1,25.4,25.8,100,加熱
2026/7/22 17:54:19,25.1,25.4,25.8,100,加熱
2026/7/22 17:54:20,25.1,25.4,25.8,100,加熱
2026/7/22 17:54:21,25.3,25.4,25.9,100,加熱
2026/7/22 17:54:22,25.3,25.4,25.9,100,加熱
2026/7/22 17:54:23,25.3,25.4,25.9,100,加熱
2026/7/22 17:54:24,25.3,25.4,25.9,100,加熱
2026/7/22 17:54:25,25.4,25.5,25.9,100,加熱
2026/7/22 17:54:26,25.4,25.5,25.9,100,加熱
2026/7/22 17:54:27,25.4,25.5,25.9,100,加熱
2026/7/22 17:54:28,25.4,25.5,25.9,100,加熱
2026/7/22 17:54:29,25.5,25.6,26.0,100,加熱
2026/7/22 17:54:30,25.5,25.6,26.0,100,加熱
2026/7/22 17:54:31,25.5,25.6,26.0,100,加熱
2026/7/22 17:54:32,25.5,25.6,26.0,100,加熱
2026/7/22 17:54:33,25.6,25.8,26.1,100,加熱
2026/7/22 17:54:34,25.6,25.8,26.1,100,加熱
2026/7/22 17:54:35,25.6,25.8,26.1,100,加熱
2026/7/22 17:54:36,25.6,25.8,26.1,100,加熱
2026/7/22 17:54:37,25.8,25.9,26.3,100,加熱
2026/7/22 17:54:38,25.8,25.9,26.3,100,加熱
2026/7/22 17:54:39,25.8,25.9,26.3,100,加熱
2026/7/22 17:54:40,25.8,25.9,26.3,100,加熱
2026/7/22 17:54:41,25.9,26.0,26.4,100,加熱
2026/7/22 17:54:42,25.9,26.0,26.4,100,加熱
2026/7/22 17:54:43,25.9,26.0,26.4,100,加熱
2026/7/22 17:54:44,25.9,26.0,26.4,100,加熱
2026/7/22 17:54:45,26.1,26.1,26.5,100,加熱
2026/7/22 17:54:46,26.1,26.1,26.5,100,加熱
2026/7/22 17:54:47,26.1,26.1,26.5,100,加熱
2026/7/22 17:54:48,26.1,26.1,26.5,100,加熱
2026/7/22 17:54:49,26.3,26.3,26.6,100,加熱
2026/7/22 17:54:50,26.3,26.3,26.6,100,加熱
2026/7/22 17:54:51,26.3,26.3,26.6,100,加熱
2026/7/22 17:54:52,26.4,26.3,26.8,100,加熱
2026/7/22 17:54:53,26.4,26.3,26.8,100,加熱
2026/7/22 17:54:54,26.4,26.3,26.8,100,加熱
2026/7/22 17:54:55,26.4,26.3,26.8,100,加熱
2026/7/22 17:54:56,26.4,26.3,26.8,100,加熱
2026/7/22 17:54:57,26.5,26.5,26.9,100,加熱
2026/7/22 17:54:58,26.5,26.5,26.9,100,加熱
2026/7/22 17:54:59,26.5,26.5,26.9,100,加熱
2026/7/22 17:55:00,26.5,26.5,26.9,100,加熱
2026/7/22 17:55:01,26.6,26.6,27.0,100,加熱
2026/7/22 17:55:02,26.6,26.6,27.0,100,加熱
2026/7/22 17:55:03,26.6,26.6,27.0,100,加熱
2026/7/22 17:55:04,26.6,26.6,27.0,100,加熱
2026/7/22 17:55:05,26.9,26.6,27.1,100,加熱
2026/7/22 17:55:06,26.9,26.6,27.1,100,加熱
2026/7/22 17:55:07,26.9,26.6,27.1,100,加熱
2026/7/22 17:55:08,26.9,26.6,27.1,100,加熱
2026/7/22 17:55:09,27.0,26.8,27.3,100,加熱
2026/7/22 17:55:10,27.0,26.8,27.3,100,加熱
2026/7/22 17:55:11,27.0,26.8,27.3,100,加熱
2026/7/22 17:55:12,27.0,26.8,27.3,100,加熱
2026/7/22 17:55:13,27.3,27.0,27.4,100,加熱
2026/7/22 17:55:14,27.3,27.0,27.4,100,加熱
2026/7/22 17:55:15,27.3,27.0,27.4,100,加熱
2026/7/22 17:55:16,27.3,27.0,27.4,100,加熱
2026/7/22 17:55:17,27.3,27.1,27.5,100,加熱
2026/7/22 17:55:18,27.3,27.1,27.5,100,加熱
2026/7/22 17:55:19,27.3,27.1,27.5,100,加熱
2026/7/22 17:55:20,27.3,27.1,27.5,100,加熱
2026/7/22 17:55:21,27.4,27.3,27.6,100,加熱
2026/7/22 17:55:22,27.4,27.3,27.6,100,加熱
